repo,developer,date,message_length,commit_id,commit_hour,day_of_week,is_weekend,risk_label
flask,David Lord,2026-02-20 04:00:34+00:00,56,c34d6e81fd8e405e6d4178bf24b364918811ef17,4,4,0,0
flask,David Lord,2026-02-20 03:41:50+00:00,48,fbb6f0bc4c60a0bada0e03c3480d0ccf30a3c1df,3,4,0,0
flask,David Lord,2026-02-19 16:42:33+00:00,10,7b0088693ece1bd3a9238a6fdf56ed8df7a4d43b,16,3,0,1
flask,David Lord,2026-02-19 16:35:48+00:00,40,a411a2434b09d9cbaa4074232b2c247d591bb655,16,3,0,0
flask,David Lord,2026-02-19 05:56:24+00:00,21,daca74d93a0edc458e618136de7d14803f06bc28,5,3,0,0
flask,David Lord,2026-02-19 05:01:53+00:00,29,f00ad424ee3b050d382cc5b4aabb18afbb5e4ae7,5,3,0,0
flask,David Lord,2026-02-19 03:41:55+00:00,21,22d924701a6ae2e4cd01e9a15bbaf3946094af65,3,3,0,0
flask,David Lord,2026-02-19 03:35:58+00:00,61,089cb86dd22bff589a4eafb7ab8e42dc357623b4,3,3,0,0
flask,David Lord,2026-02-19 03:02:54+00:00,37,c17f379390731543eea33a570a47bd4ef76a54fa,3,3,0,0
flask,David Lord,2026-02-18 22:52:52+00:00,19,27be9338405382445a7cb01151e084559b98d602,22,2,0,0
flask,David Lord,2026-02-12 21:11:01+00:00,22,d98eb69a354158252854ed4a5c9778e03d089191,21,3,0,0
flask,David Lord,2026-02-12 21:07:50+00:00,46,12e95c93b488725f80753f34b2e0d24838ca4646,21,3,0,0
flask,David Lord,2026-02-12 21:03:03+00:00,38,e82db2ca3a22c9614c1987392c9cfaa8c6ce99ad,21,3,0,0
flask,David Lord,2026-02-06 21:22:54+00:00,44,d3b78fd18a8d9e224cb9ef58a23cec9b1ffc9ce9,21,4,0,0
flask,David Lord,2026-02-03 18:22:19+00:00,23,663198d7b453ffdbe86d0e0238b1feafde6ce569,18,1,0,0
flask,David Lord,2026-02-03 18:20:49+00:00,21,976459f7cb35c8c3abc3a6e6a2728d76d1a0a5f2,18,1,0,0
flask,David Lord,2026-02-03 18:19:45+00:00,45,5e621a2801daf95be6d208da9dcc287bb251f63c,18,1,0,0
flask,David Lord,2026-01-28 15:43:00+00:00,54,4e652d3f68b90d50aa2301d3b7e68c3fafd9251d,15,2,0,0
flask,Markus Heidelberg,2026-01-20 13:16:17+00:00,293,3d03098a97ddc6a908aa4a50c2ef7381f8297d0a,13,1,0,0
flask,David Lord,2026-01-25 18:38:42+00:00,21,798e006f435887adceb6aab9b57cde8e20276793,18,6,1,0
flask,David Lord,2026-01-25 18:35:12+00:00,39,407eb76b27884848383a37c7274654f0271e4bc4,18,6,1,0
flask,David Lord,2026-01-25 18:31:31+00:00,31,ac5664d2281533eacafd64f5cc7d5edcdaccab60,18,6,1,0
flask,David Lord,2026-01-25 03:55:36+00:00,21,23df07d799f0bed3feb5beb9e5633651687da92b,3,6,1,0
flask,David Lord,2026-01-25 03:53:11+00:00,39,4b8bde97d4fa3486e18dce21c3c5f75570d50164,3,6,1,0
flask,David Lord,2026-01-25 03:52:11+00:00,29,0292047b22c82921dcf165322d93a0b988328c2e,3,6,1,0
flask,David Lord,2026-01-25 03:50:30+00:00,29,c77a5203438fe772d41f6a47303ad3f57a4efe6d,3,6,1,0
flask,David Lord,2026-01-25 03:11:02+00:00,22,9b74a90dd3c47f792734823e8793ac36f38bc4dd,3,6,1,0
flask,David Lord,2026-01-25 03:05:26+00:00,21,5880befcd22490c40f3c63d6178427f7753672c1,3,6,1,0
flask,David Lord,2026-01-25 03:04:07+00:00,51,4f79d5b59a56bc4356a97f2e81a35f98cb18d7b3,3,6,1,0
flask,Markus Heidelberg,2025-12-17 14:44:15+00:00,294,fe3b215d3ade4db68262dae1a3cdc464a1fc524f,14,2,0,0
flask,David Lord,2026-01-25 03:00:23+00:00,33,5559ef42b5334075cbde82b2870ca725ac606fa4,3,6,1,0
flask,David Lord,2026-01-25 02:58:45+00:00,76,3709c4a9a87e6ce8c26dc4a951e1df52ac9ecad0,2,6,1,0
flask,Christian Clauss,2025-11-05 17:13:26+00:00,25,709f83f6a32da8cdaec196d7b785ab6827322008,17,2,0,0
flask,ADITYA SAH,2026-01-25 02:46:56+00:00,50,30da640ffe23b6e461fa91d387ffea6b9d9fa847,2,6,1,0
flask,David Lord,2026-01-25 02:25:31+00:00,50,25642fd1fd65985fc98f95e64bc2c7ff353d6c2b,2,6,1,0
flask,David Lord,2026-01-25 01:18:35+00:00,32,809d5a8869d4ffe8656680b2438b10f7c8845613,1,6,1,0
flask,David Lord,2026-01-25 00:50:54+00:00,24,eca5fd1dfdc614c2df876cc32018a7d71f84ea82,0,6,1,0
flask,David Lord,2026-01-25 01:15:54+00:00,21,eb58d862cc4a8f31a369b6e9ad1724e9e642f13f,1,6,1,0
flask,David Lord,2026-01-25 01:14:20+00:00,23,64dd0809c2fc732ed30539235232a268f9bd96ac,1,6,1,0
flask,David Lord,2026-01-05 16:49:46+00:00,23,97bddc1f61a59522386d36ec37b2b220a01de262,16,0,0,0
flask,David Lord,2025-11-28 19:05:47+00:00,32,ad68a12645d96fe51558da13e18544ba458d7af0,19,4,0,0
flask,David Lord,2025-11-17 18:05:51+00:00,21,2579ce9f18e67ec3213c6eceb5240310ccd46af8,18,0,0,0
flask,David Lord,2025-11-17 18:05:39+00:00,25,607d1948b8747776f4a45d5b7c7eaeb57b6b9f80,18,0,0,0
flask,David Lord,2025-11-17 18:03:42+00:00,21,218880c7fdedee139ac09caaf93da469b4dba14c,18,0,0,0
flask,David Lord,2025-11-17 18:02:53+00:00,11,917000097fc17875104176e2c71318ab25c508c3,18,0,0,1
flask,David Lord,2025-11-17 17:45:56+00:00,21,96a01e420b741c59af59301f15612fde39bfb39d,17,0,0,0
flask,David Lord,2025-11-17 17:43:40+00:00,23,da6d075dfde71b2e2a64f39b29ba957d5ffb00b0,17,0,0,0
flask,David Lord,2025-11-17 16:49:53+00:00,45,70d04b5a2620705011e65f79ccfd52caa86f5d6a,16,0,0,0
flask,Hynek Schlawack,2025-10-14 20:26:26+00:00,30,88a65bb374e87a18816a780dbd4ae69d307aa85c,20,1,0,0
flask,David Lord,2025-09-19 23:58:48+00:00,37,6a64969009bf1898bd302e6a9633f71942523f7f,23,4,0,0
flask,David Lord,2025-09-19 23:45:27+00:00,37,adf363679da2d9a5ddc564bb2da563c7ca083916,23,4,0,0
flask,David Lord,2025-09-12 21:52:03+00:00,29,c2705ffd9ce1dc8476cb29eaf5ff5d4c719852d9,21,4,0,0
flask,subhajitsaha01,2025-09-06 16:31:22+00:00,94,dbd4c2882593f6118103120aa96fa9acdf7deedb,16,5,1,0
flask,David Lord,2025-08-19 21:09:56+00:00,21,330123258e8c3dc391cbe55ab1ed94891ca83af3,21,1,0,0
flask,David Lord,2025-08-19 21:03:43+00:00,29,85793d6c223dd845e8f218403a5ced83041d37e1,21,1,0,0
flask,David Lord,2025-08-19 20:42:11+00:00,21,2c1b30d0503cfb064f1cb252e6614a06915a362a,20,1,0,0
flask,David Lord,2025-08-19 20:56:49+00:00,60,1292419ddfc6a14fc7f85b5ed7efcc2d215f1ad3,20,1,0,0
flask,Grant Birkinbine,2025-08-07 04:44:28+00:00,52,4dd52ca9c768c9b6d04180f0547d6f4b6e34f211,4,3,0,0
flask,David Lord,2025-08-19 20:41:24+00:00,23,55c62556571ee46a94da174643b50ece06edead4,20,1,0,0
flask,David Lord,2025-08-19 19:36:00+00:00,51,ed1c9e953e2d67c0994e32e6c8d878291e36d4f7,19,1,0,0
